State,District,Latitude,Longitude,District code,District name,Population,Male_Literate,Female_Literate,Households_with_Internet,Housholds_with_Electric_Lighting,Rural_Households,Sex_Ratio,Literacy_ratte
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,Alappuzha,2127789,890552,962245,28842,507913,331419,110.0,87.0
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,Ernakulam,3282388,1425723,1429953,88737,771287,369694,103.0,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,Idukki,1108974,471881,451129,8250,244844,391610,101.0,83.0
Kerala,Kannur,11.941523076923056,75.35209891725934,589,Kannur,2523003,1012956,1125478,32653,511167,306288,114.0,85.0
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,Kasaragod,1307375,516476,521016,10378,237670,251641,108.0,79.0
Kerala,Kollam,8.929388820570157,76.6360775852431,600,Kollam,2635375,1074345,1165928,31542,630767,523715,111.0,85.0
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,Kottayam,1974551,861592,888206,37849,464039,481967,104.0,89.0
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,Kozhikode,3086293,1266939,1348504,36791,641660,323793,110.0,85.0
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,Malappuram,4112920,1597404,1713911,27909,730119,634543,110.0,81.0
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,Palakkad,2809934,1122600,1116892,27162,587583,665899,107.0,80.0
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,Thiruvananthapuram,3301427,1354857,1430551,71621,783872,559293,109.0,84.0
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,Thrissur,3121200,1282261,1396287,56148,721625,336748,111.0,86.0
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,Wayanad,817420,328136,317449,4712,149864,266183,103.0,79.0
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,Anuppur,749237,254120,182475,1290,81338,147388,98.0,58.0
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,Ashoknagar,845071,290304,178805,619,84720,169606,90.0,56.0
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,Balaghat,1701698,626468,521155,1712,277927,400074,102.0,67.0
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,Barwani,1385881,313642,236284,1158,181139,250358,98.0,40.0
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,Betul,1575362,529783,409986,2109,230974,318945,97.0,60.0
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,Bhind,1703005,676513,418404,1166,107819,271211,84.0,64.0
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,Bhopal,2371061,920314,740376,40788,452912,118893,92.0,70.0
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,Burhanpur,757847,233073,175606,986,112420,115979,95.0,54.0
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,Chhatarpur,1762375,572010,371023,1880,176056,375869,88.0,54.0
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,Chhindwara,2090922,731294,562904,3588,344875,413142,96.0,62.0
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,Damoh,1264219,445737,301978,1432,187731,303387,91.0,59.0
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,Datia,786754,303815,187630,616,97696,160453,87.0,62.0
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,Dewas,1563715,550716,374653,3518,270457,274995,94.0,59.0
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,Dhar,2185793,638479,438859,2388,349639,412348,96.0,49.0
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,Dindori,704524,222759,155955,554,62372,218021,100.0,54.0
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,Guna,1241519,400537,253443,2482,144248,212765,91.0,53.0
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,Gwalior,2032036,803114,554096,15779,306859,172720,86.0,67.0
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,Harda,570465,203807,148743,986,95066,112714,93.0,62.0
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,Hoshangabad,1241350,469199,341445,2871,198076,209650,91.0,65.0
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,Indore,3276697,1289631,1019499,48691,593576,200371,93.0,70.0
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,Jabalpur,2463289,980307,776161,20443,452023,272284,93.0,71.0
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,Jhabua,1025048,214582,137499,744,125411,211080,99.0,34.0
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,Katni,1292042,460583,330190,2179,172416,276151,95.0,61.0
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,Mandla,1054905,348033,256929,912,143803,279674,101.0,57.0
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,Mandsaur,1340411,502898,331693,2324,239885,302287,96.0,62.0
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,Morena,1965970,747652,432033,1781,131486,319298,84.0,60.0
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,Neemuch,826067,307889,200945,1945,145258,174235,95.0,62.0
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,Panna,1016520,332140,220419,653,76097,256744,91.0,54.0
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,Raisen,1331597,479093,341127,1141,194373,251272,90.0,62.0
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,Rajgarh,1545814,488797,315448,1611,231130,331894,96.0,52.0
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,Ratlam,1455069,485090,340790,3644,213825,266716,97.0,57.0
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,Rewa,2365106,845572,596185,3406,251132,523910,93.0,61.0
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,Sagar,2378458,908607,637112,4546,366494,448408,89.0,65.0
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,Satna,2228935,801051,570730,3754,294702,461831,93.0,62.0
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,Sehore,1311332,469208,311154,1566,212138,270427,92.0,60.0
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,Seoni,1379131,485341,378853,1182,228695,335045,98.0,63.0
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,Shahdol,1066063,348761,255433,1733,113184,233594,97.0,57.0
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,Shajapur,1512681,543509,351103,1382,232735,312611,94.0,59.0
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,Sheopur,687861,208201,119824,273,74770,150146,90.0,48.0
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,Shivpuri,1726050,573242,327604,1852,148128,367859,88.0,52.0
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,Sidhi,1127033,353030,247755,837,102228,250953,96.0,53.0
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,Tikamgarh,1445166,459353,288587,1090,132725,322772,90.0,52.0
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,Ujjain,1986864,730817,510173,7501,323379,300765,96.0,62.0
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,Umaria,644758,210907,145765,839,67975,138100,95.0,55.0
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,Vidisha,1458875,512344,350574,1926,181510,292579,90.0,59.0
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,Akola,1813906,758977,652304,6163,314490,308158,95.0,78.0
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,Amravati,2888445,1207104,1044771,9438,512492,508921,95.0,78.0
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,Bhandara,1200334,488709,411151,2932,227025,283843,98.0,75.0
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,Bid,2585049,987185,731322,5614,402052,563114,92.0,66.0
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,Buldana,2586258,1048892,830982,4767,423036,575405,93.0,73.0
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,Chandrapur,2204307,872565,706050,8239,418666,451324,96.0,72.0
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,Dhule,2050862,723388,570528,6065,315332,382777,95.0,63.0
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,Gondiya,1322507,542837,461406,2866,239981,319702,100.0,76.0
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,Hingoli,1177345,450551,340192,1221,159114,242456,94.0,67.0
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,Jalgaon,4229917,1629223,1262659,14297,720791,796223,92.0,68.0
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,Jalna,1959046,699428,496095,3791,288895,404746,94.0,61.0
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,Kolhapur,3876001,1559760,1266085,22269,770005,796496,96.0,73.0
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,Latur,2454196,932432,718240,6217,381722,428616,93.0,67.0
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,Nagpur,4653570,1959220,1714588,57964,917626,430844,95.0,79.0
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,Nanded,3361292,1255222,934203,7548,488748,591119,94.0,65.0
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,Nandurbar,1648295,512099,394410,2579,186202,333440,98.0,55.0
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,Nashik,6107187,2397538,1947828,45039,904710,904661,93.0,71.0
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,Osmanabad,1657576,644304,493506,3209,240042,367158,92.0,69.0
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,Parbhani,1836086,666291,491523,3982,272486,293480,95.0,63.0
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,Pune,9429408,3940210,3231513,235018,1925019,1165718,91.0,76.0
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,Ratnagiri,1615069,619012,580380,7752,367352,538538,112.0,74.0
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,Sangli,2822143,1121550,927917,13212,485126,626872,97.0,73.0
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,Satara,3003741,1201034,1024660,14093,562653,774522,99.0,74.0
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,Sindhudurg,849651,348289,317778,3517,194228,295847,104.0,78.0
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,Solapur,4317756,1651266,1259410,15145,595560,779929,94.0,67.0
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,Thane,11060148,4591396,3635765,256170,2231800,713994,89.0,74.0
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,Wardha,1300774,552617,466841,4313,266155,268486,95.0,78.0
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,Washim,1197160,487703,382214,1875,196022,274925,93.0,73.0
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,Yavatmal,2772348,1115980,906594,6094,446516,629243,95.0,73.0
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,Bishnupur,237399,87313,69020,676,34364,34977,100.0,66.0
Manipur,Chandel,24.2635812987013,94.09443844155844,280,Chandel,144182,51053,39249,184,18764,30377,93.0,63.0
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,Churachandpur,274143,104013,91922,837,29894,52972,97.0,71.0
Manipur,Senapati,25.08465586034914,94.03366234413956,272,Senapati,479148,148012,116465,256,22798,38008,94.0,55.0
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,Tamenglong,140651,47403,37603,125,11541,23982,94.0,60.0
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,Thoubal,422168,152617,116687,880,49507,65961,100.0,64.0
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,Ukhrul,183998,70148,59681,276,14026,36084,94.0,71.0
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,East Garo Hills,317917,102513,89634,288,24550,62698,97.0,60.0
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,East Khasi Hills,825922,287270,290760,5032,135941,106248,101.0,70.0
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,Jaintia Hills,395124,87371,100156,510,41677,76546,101.0,47.0
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,South Garo Hills,142334,45003,37059,179,10940,35930,95.0,58.0
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,West Garo Hills,643291,193438,165264,1630,51301,139351,98.0,56.0
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,West Khasi Hills,383461,117307,113371,149,32873,74832,98.0,60.0
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,Aizawl,400309,169547,171048,4019,79804,20570,101.0,85.0
Mizoram,Champhai,23.54166580976866,93.24221799485862,284,Champhai,125745,51440,49362,186,23948,18395,98.0,80.0
Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,Kolasib,83955,34147,31748,367,14853,9669,96.0,78.0
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,Lawngtlai,117894,36444,26417,162,9283,21993,95.0,53.0
Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,Lunglei,161428,64515,56607,482,26394,21479,95.0,75.0
Mizoram,Mamit,23.73852942502819,92.4330803833147,281,Mamit,86364,32977,27214,90,12158,16726,93.0,70.0
Mizoram,Saiha,22.35744801061008,93.02827931034489,288,Saiha,56574,21861,20372,168,7400,7043,98.0,75.0
Mizoram,Serchhip,23.263864705882344,92.914158496732,285,Serchhip,64937,27598,26878,131,12315,7472,98.0,84.0
Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,Dimapur,378811,150142,127895,3303,71413,49116,92.0,73.0
Nagaland,Kohima,25.60311428571428,93.78600657596373,270,Kohima,267988,107038,90451,1928,50724,31845,93.0,74.0
Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,Mokokchung,194622,83479,76015,537,40154,37536,93.0,82.0
Nagaland,Mon,26.69207374301676,95.03072988826828,261,Mon,250260,67432,52194,178,14398,43607,90.0,48.0
Nagaland,Phek,25.63272986577182,94.56814563758392,266,Phek,163418,57926,47967,170,36182,38903,95.0,65.0
Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,Tuensang,196596,63653,53858,155,24998,40690,93.0,60.0
Nagaland,Wokha,26.202611551155112,94.1990815181518,264,Wokha,166343,67385,60823,198,25268,38499,97.0,77.0
Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,Zunheboto,140757,53504,49377,261,28846,31267,98.0,73.0
Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,Baleshwar,2320529,902359,718873,7370,296834,601154,96.0,70.0
Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,Bhadrak,1506337,596269,497871,2637,164636,373862,98.0,73.0
Orissa,Cuttack,20.407640646029623,85.7776810228802,381,Cuttack,2624470,1103033,908436,15046,349587,579529,94.0,77.0
Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,Dhenkanal,1192811,464093,365817,1810,117172,315390,95.0,70.0
Orissa,Gajapati,19.121080882352945,84.14015091911759,389,Gajapati,577817,153663,108874,635,63112,152095,104.0,45.0
Orissa,Ganjam,19.2632617564534,84.80297710437702,388,Ganjam,3529031,1262652,947398,9049,405298,795476,98.0,63.0
Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,Jharsuguda,579505,228092,177787,2498,81433,103224,95.0,70.0
Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,Kalahandi,1576869,484177,317859,1953,91171,456336,100.0,51.0
Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,Kandhamal,733110,233900,165886,768,28736,218446,104.0,55.0
Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,Kendrapara,1440361,579970,509295,1628,173107,414749,101.0,76.0
Orissa,Khordha,20.054162322274863,85.52234834123229,386,Khordha,2251673,957515,792421,35701,349860,331834,93.0,78.0
Orissa,Koraput,18.82627794779476,82.81278469846964,398,Koraput,1379647,340843,227247,3988,85766,381789,103.0,41.0
Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,Malkangiri,613192,147001,97705,448,24604,167884,102.0,40.0
Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,Mayurbhanj,2519738,794171,575226,2950,140189,689110,101.0,54.0
Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,Nayagarh,962789,392333,296029,1163,124984,261646,92.0,71.0
Orissa,Nuapada,20.471309512195116,82.59152536585364,394,Nuapada,610382,180903,118480,757,43976,197258,102.0,49.0
Orissa,Puri,19.83509174603177,85.86698989898981,387,Puri,1698730,704857,587082,3416,201605,402014,96.0,76.0
Orissa,Rayagada,19.292840020060204,83.45860120361095,396,Rayagada,967911,241959,165776,1553,61543,237343,105.0,42.0
Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,Sambalpur,1041099,393192,310499,5231,126498,220697,98.0,68.0
Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,Sundargarh,2093437,750147,592175,12787,223537,387911,97.0,64.0
Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,Karaikal,200222,79903,75013,1868,47880,35618,105.0,77.0
Puducherry,Mahe,12.006420793787758,75.28275021570326,636,Mahe,41816,16610,19860,574,7150,0,118.0,87.0
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,Yanam,55626,19919,19355,207,12859,0,104.0,71.0
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,Amritsar,2490656,932981,751789,29961,461231,275477,89.0,68.0
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,Bathinda,1388525,488261,356607,11284,255650,218159,87.0,61.0
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,Faridkot,617508,215767,165518,4348,113549,99946,89.0,62.0
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,Fatehgarh Sahib,600163,238696,187337,5138,113683,117559,87.0,71.0
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,Firozpur,2029074,707070,520441,10042,349662,348522,89.0,60.0
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,Gurdaspur,2298323,907660,727059,14428,411216,420860,90.0,71.0
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,Hoshiarpur,1586625,637927,561772,13747,319930,422673,96.0,76.0
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,Jalandhar,2193590,882581,739956,39082,446200,330339,92.0,74.0
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,Kapurthala,815168,316254,260313,9732,161206,165433,91.0,71.0
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,Ludhiana,3498739,1428348,1131877,58589,703624,395032,87.0,73.0
Punjab,Mansa,29.919547714285724,75.4304922857143,47,Mansa,769751,244037,179523,2673,140099,145603,88.0,55.0
Punjab,Moga,30.756540067340065,75.1600845117845,42,Moga,995746,348549,279340,7897,183396,214295,89.0,63.0
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,Muktsar,901896,300401,224447,4571,166585,149507,90.0,58.0
Punjab,Patiala,30.214540380693364,76.27505893949697,48,Patiala,1895686,711052,555739,24274,352929,299279,89.0,67.0
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,Rupnagar,684627,278534,224197,6600,129123,148162,92.0,73.0
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,Sangrur,1655169,570413,431664,10736,305557,292156,89.0,61.0
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,Ajmer,2583052,926268,600405,13499,393498,409335,95.0,59.0
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,Alwar,3674179,1359829,822647,9750,485723,782294,89.0,59.0
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,Banswara,1797485,513854,315489,2324,120603,390437,98.0,46.0
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,Baran,1222755,432607,260700,1363,161310,249184,93.0,57.0
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,Barmer,2603751,783461,404861,2766,126494,542825,90.0,46.0
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,Bharatpur,2548462,943910,536959,4179,288723,479437,88.0,58.0
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,Bhilwara,2408523,777582,478544,6207,373644,530015,97.0,52.0
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,Bikaner,2363937,782399,496402,7607,220793,335754,91.0,54.0
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,Bundi,1110906,371705,213339,1392,136969,239836,92.0,53.0
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,Chittaurgarh,1544338,514851,306974,4941,268172,366780,97.0,53.0
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,Churu,2039547,696729,452540,2577,231696,344897,94.0,56.0
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,Dausa,1634409,596935,341116,1719,195277,361084,91.0,57.0
Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,Dhaulpur,1206516,435721,247377,1330,96086,214670,85.0,57.0
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,Dungarpur,1388552,415820,265771,1477,141275,322816,99.0,49.0
Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,Ganganagar,1969168,710908,482435,6295,283142,397697,89.0,61.0
Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,Hanumangarh,1774692,624281,409855,3360,243163,389059,91.0,58.0
Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,Jaipur,6626178,2554793,1746172,76565,990085,754841,91.0,65.0
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,Jaisalmer,669919,210415,98238,754,43141,159117,85.0,46.0
Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,Jalor,1828730,543923,285659,1585,161845,419216,95.0,45.0
Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,Jhalawar,1411129,466815,272977,1750,220428,298624,95.0,52.0
Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,Jhunjhunun,2137045,815834,554526,4828,297559,500452,95.0,64.0
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,Jodhpur,3687165,1265753,765779,19335,408808,584215,92.0,55.0
Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,Karauli,1458248,531904,273945,1059,132079,305047,86.0,55.0
Rajasthan,Kota,25.175718080000014,76.18618928000001,127,Kota,1951014,765396,532949,12843,339899,203454,91.0,67.0
Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,Nagaur,3307743,1102750,655874,4449,347344,675712,95.0,53.0
Rajasthan,Pali,25.80490393541874,73.55285640766907,118,Pali,2037573,667381,418312,4043,326793,512909,99.0,53.0
Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,Rajsamand,1156597,383334,235805,1989,193276,304622,99.0,54.0
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,Sawai Madhopur,1335551,486184,255564,1887,140947,282057,90.0,56.0
Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,Sikar,2677333,995275,656842,5647,339457,527560,95.0,62.0
Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,Sirohi,1036346,309900,166906,2146,134089,238535,94.0,46.0
Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,Tonk,1421326,478329,271330,1908,158264,298911,95.0,53.0
Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,Udaipur,3068420,973444,609185,14211,357846,665449,96.0,52.0
Sikkim,East,27.29600352941175,88.74908392156858,93,East,1709346,748382,604616,80037,352758,1086,88.0,79.0
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,Ariyalur,754894,269582,211022,1749,177502,223955,101.0,64.0
Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,Chennai,4646732,1968079,1808197,217368,1096334,0,99.0,81.0
Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,Coimbatore,3458045,1394790,1241117,63273,896325,284795,100.0,76.0
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,Cuddalore,2605914,1000322,814959,15396,598412,497429,99.0,70.0
Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,Dharmapuri,1506843,527599,390110,3651,337972,396819,95.0,61.0
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,Dindigul,2159775,816180,665654,9155,500057,443818,100.0,69.0
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,Erode,2251744,828300,664362,18604,595211,411286,99.0,66.0
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,Kancheepuram,3998252,1611461,1401921,100322,961161,438799,99.0,75.0
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,Kanniyakumari,1870374,780541,768197,15673,465692,104253,102.0,83.0
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,Karur,1064493,401726,325318,4915,264949,212241,102.0,68.0
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,Madurai,3038252,1223810,1049620,34097,754141,417718,99.0,75.0
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,Nagapattinam,1616450,640916,572092,5585,381940,399016,103.0,75.0
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,Namakkal,1726601,653312,522819,8960,441044,370357,99.0,68.0
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,Perambalur,565223,208011,167812,1507,135751,155413,100.0,66.0
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,Pudukkottai,1618345,608776,501769,4494,354493,399712,101.0,69.0
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,626,Ramanathapuram,1353445,536487,442459,5172,291400,290478,98.0,72.0
Tamil Nadu,Salem,11.629324202127655,78.2478257978723,608,Salem,3482056,1285107,1000455,20660,835377,572813,95.0,66.0
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032255,622,Sivaganga,1339101,526304,433440,5773,314270,309224,100.0,72.0
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,620,Thanjavur,2405890,944264,846734,13495,555582,479070,103.0,74.0
Tamil Nadu,Theni,9.924066666666668,77.43458833333332,624,Theni,1245899,479403,390677,4667,312310,189328,99.0,70.0
Tamil Nadu,Thiruvallur,13.275858101752885,80.19724702864492,602,Thiruvallur,3728104,1495711,1296010,75634,909400,387237,99.0,75.0
Tamil Nadu,Thiruvarur,10.368927409395978,79.60322893959727,619,Thiruvarur,1264277,503085,443386,4416,303114,321331,102.0,75.0
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,606,Tiruvannamalai,2464875,909803,717010,6445,549077,563102,99.0,66.0
Tamil Nadu,Vellore,12.784882632293078,79.02643283582084,605,Vellore,3936331,1504355,1269573,20623,865913,653499,101.0,70.0
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,625,Virudhunagar,1942288,760375,638413,10219,505950,363782,101.0,72.0
Tripura,Dhalai,23.781360477941163,91.94654283088232,291,Dhalai,378230,151643,124574,273,46875,89457,94.0,73.0
Tripura,North Tripura,24.121739755351683,92.17842538226292,292,North Tripura,693947,275646,244756,997,81601,150437,97.0,75.0
Tripura,South Tripura,23.211874098057383,91.6065807585568,290,South Tripura,876001,351082,295728,948,133744,219171,96.0,74.0
